name,all_american,event,place
JOSEPH FAHNBULLEH,1,100,1
FAVOUR ASHE,1,100,2
JAVONTE HARDING,1,100,3
JOVAUGHN MARTIN,1,100,4
DEDRICK VANOVER,1,100,5
MATTHEW BOLING,1,100,6
MICAH WILLIAMS,1,100,7
DA'MARCUS FLEMING,1,100,8
COURTNEY LINDSEY,0,100,10
UDODI ONWUZURIKE,0,100,11
ERIC HARRISON,0,100,12
TERRENCE JONES,0,100,13
DEMARIUS SMITH,0,100,13
ISMAEL KONE,0,100,15
ALABA AKINTOLA,0,100,16
TAYLOR BANKS,0,100,17
ISAIAH CUNNINGHAM,0,100,18
LAWRENCE JOHNSON,0,100,19
EDWARD SUMLER IV,0,100,20
JOSEPH MANU,0,100,21
BRENDON STEWART,0,100,22
MICAIAH HARRIS,0,100,23
DEVON ACHANE,0,100,24
JOSEPH FAHNBULLEH,1,200,1
MATTHEW BOLING,1,200,2
UDODI ONWUZURIKE,1,200,3
MICAIAH HARRIS,1,200,4
TARSIS OROGOT,1,200,5
SHAUN MASWANGANYI,1,200,6
ROBERT GREGORY,1,200,7
COURTNEY LINDSEY,1,200,8
EVAN MILLER,0,200,10
LAWRENCE JOHNSON,0,200,11
ALABA AKINTOLA,0,200,12
KASAUN JAMES,0,200,13
DAVID DUNLAP,0,200,14
WANYA MCCOY,0,200,15
LANCE LANG,0,200,16
ISMAEL KONE,0,200,17
DORIAN CAMEL,0,200,18
TINOTENDA MATIYENGA,0,200,19
JOSEPH MANU,0,200,20
DEMARIUS SMITH,0,200,21
JEREMIAH CURRY,0,200,22
EDWARD SUMLER IV,0,200,23
JAVONTE HARDING,0,200,
RANDOLPH ROSS,1,400,1
CHAMPION ALLISON,1,400,2
ELIJA GODWIN,1,400,3
JONATHAN JONES,1,400,4
RYAN WILLIE,1,400,5
RICHARD KUYKENDOLL,1,400,6
JEVAUGHN POWELL,1,400,7
TYLER JOHNSON,1,400,8
EMMANUEL BAMIDELE,0,400,8
DWIGHT ST HILLAIRE,0,400,10
ISMAIL TURNER,0,400,11
JACORY PATTERSON,0,400,12
KHALEB MCRAE,0,400,13
WILLINGTON WRIGHT,0,400,14
CAMERON REYNOLDS,0,400,15
BRIAN FAUST,0,400,16
BRIAN HERRON,0,400,17
JUSTIN ROBINSON,0,400,18
STEVEN MCELROY,0,400,19
JOHNNIE BLOCKBURGER,0,400,20
MICHAEL PHILLIPPY,0,400,21
JOVAHN WILLIAMSON,0,400,22
DUBEM AMENE,0,400,23
GAMALI FELIX,0,400,24
MOAD ZAHAFI,1,800,1
NAVASKY ANDERSON,1,800,2
BRANDON MILLER,1,800,3
JASON GOMEZ,1,800,4
SEAN DOLAN,1,800,5
DAYTON CARLSON,1,800,6
SAMUEL RODMAN,1,800,7
JONATHAN SCHWIND,1,800,8
LORENZ HERRMANN,0,800,10
SEBASTIAN FERNANDEZ,0,800,11
CLAYBORN PENDER,0,800,12
BAYLOR FRANKLIN,0,800,13
TIM ZEPF,0,800,14
AYMAN ZAHAFI,0,800,15
