name,event,place,all_american,min,max,mean,std,median,q1,q3,mean_three_recent,mean_three_best,mean_three_worst,percent_diff_recent_best,percent_diff_recent_worst,no_mark_rate,count,grade,year,school,score
JOSEPH FAHNBULLEH,100,1,1,0.9397129186602872,0.982,0.9661348702652708,0.0117272603824499,0.9665363694048468,0.9592201014102544,0.9751766742553596,0.9661348702652708,0.9790628115653042,0.949459438667925,0.0132921619440418,0.0174101912075865,0.0,16,SO,2,FLORIDA,1.0
FAVOUR ASHE,100,2,1,0.9646365422396858,1.0030643513789583,0.9744303199643566,0.0114250516436591,0.9713155291790307,0.9684418145956608,0.9742063492063492,0.9744303199643564,0.9742063492063492,0.9668553471881368,0.0002298743132063,0.0078040784047312,0.0,9,FR,1,TENNESSEE,0.9583333333333334
JAVONTE HARDING,100,3,1,0.9117920148560816,0.9742063492063492,0.9589898727752844,0.0154179230984973,0.9618021547502448,0.9568860999289606,0.9662992442093872,0.9589898727752844,0.9742063492063492,0.9346594201278292,0.0157422989534574,0.0256968940749896,0.0,16,SO,2,N. CAROLINA A&T,0.9166666666666666
JOVAUGHN MARTIN,100,4,1,0.9290444654683064,0.9879275653923542,0.9663581676106257,0.0139359630891582,0.9684427564810176,0.9608638219863648,0.972999931311268,0.9663581676106254,0.9790628115653042,0.9434634148152216,0.0130610742771575,0.0239758027724485,0.0,18,JR,3,FLORIDA STATE,0.875
DEDRICK VANOVER,100,5,1,0.9316888045540798,0.9790628115653042,0.961274326204584,0.0117498705980356,0.9636898920510304,0.9552529182879378,0.9684418145956608,0.961274326204584,0.9722772277227724,0.943112372905709,0.0113810273078467,0.0190738081791476,0.0,17,SR,4,FLORIDA,0.8333333333333334
MATTHEW BOLING,100,6,1,0.947876447876448,0.9849548645937812,0.9677781868065596,0.0095732095688803,0.967487684729064,0.9627460234006376,0.9732408325074332,0.9677781868065596,0.9790628115653042,0.9537429967411972,0.0115927543833131,0.0146084156506135,0.0,19,SO,2,GEORGIA,0.7916666666666666
MICAH WILLIAMS,100,7,1,0.9571150097465888,0.9989827060020346,0.9768415804909184,0.0115068045176286,0.9742063492063492,0.9713155291790307,0.982,0.9768415804909184,0.9889224572004028,0.9599297589325396,0.0122912785846593,0.0174639320751338,0.0,17,SO,2,OREGON,0.75
DA'MARCUS FLEMING,100,8,1,0.9042357274401474,0.9800399201596808,0.95513527951301,0.0219426709893219,0.9636908201394508,0.9415148609779482,0.9698772520678876,0.9551352795130102,0.9722772277227724,0.922293658975834,0.0177875240981458,0.0349857401938319,0.125,16,SO,2,LSU,0.7083333333333333
SHAUN MASWANGANYI,100,9,0,0.9334600760456274,0.9949341438703142,0.965895122422514,0.0132764140780943,0.967487684729064,0.9561830574488804,0.9771144278606964,0.9658951224225136,0.9780876494023906,0.9461361739649846,0.0125438632035109,0.0206680178246671,0.0,21,SO,2,HOUSTON,0.6666666666666667
COURTNEY LINDSEY,100,10,0,0.9397129186602872,0.9771144278606964,0.9580166463658591,0.0094869258686517,0.9571150097465888,0.9506292352371734,0.96463747306583,0.9580166463658594,0.9713155291790307,0.9442429746011126,0.0137859959852848,0.0144813795266759,0.0,23,JR,3,TEXAS TECH,0.625
UDODI ONWUZURIKE,100,11,0,0.958048780487805,0.9790628115653042,0.9675321656584028,0.0070217331572594,0.967013434338145,0.962509362216973,0.9708418170535764,0.9675321656584028,0.9693978282329712,0.9608653444257552,0.0019264119823145,0.006914364074611,0.0,8,FR,1,STANFORD,0.5833333333333333
ERIC HARRISON,100,12,0,0.9067405355493998,0.9800399201596808,0.9518735290066804,0.0157278391262459,0.9552529182879378,0.9460500963391136,0.9613316057508564,0.9518735290066802,0.9713155291790307,0.9118061251334746,0.0202185012332501,0.0429981663256301,0.0227272727272727,44,SR,4,OHIO STATE,0.5416666666666667
TERRENCE JONES,100,13,0,0.9497098646034816,0.9790628115653042,0.9654838268269236,0.0132201110122186,0.9665813155694546,0.9573688151244776,0.9746963272719008,0.9654838268269236,0.959921798631476,0.960957498580797,0.0057775131867326,0.0046991602458161,0.0,4,SO,2,TEXAS TECH,0.5
DEMARIUS SMITH,100,13,0,0.8878842676311031,0.9751737835153924,0.9410934502570816,0.0222642495708102,0.9460500963391136,0.9229355918070264,0.9585184041890324,0.9410934502570816,0.9684418145956608,0.9012946874799208,0.0286440002884031,0.0432034509580002,0.0,27,SR,4,OKLAHOMA,0.5
